UNcode,CountryName,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
426,Lesotho,,,,954,1899,2000,2414,3399,2580,2500,2450,2500,,,,,,,,,,,,,9221,6182,6981,5181,3403,1989,1972,1986,2779,4072,3101,2989,3100
430,Liberia,4420,5763,6109,7391,6623,5263,6656,8557,9632,6969,6322,6090,7584,6501,6285,5263,2393,1078,1785,1730,2419,2199,1426,1412,2766,2215,1401,2206,2156,3117,4009,2936,6154,3583,5413,6328,8200
434,Libya,3922,838,17180,21497,35345,27965,18498,15335,18970,12000,7605,11118,20628,25033,15505,39504,30305,19520,10593,14379,13734,10785,12255,12736,9087,9590,9697,6931,7674,20093,33388,33129,35428,39597,70795,81342,103000
440,Lithuania,,,,,,,,,,,,,,,,,952,6292,22660,31067,70443,71095,61287,49499,55845,91629,88006,112911,125748,176782,182052,230887,283431,290509,346080,353313,364670
442,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,65457,62817,63093,77208,80036,76960,83510,88272,101075,98154,100798,111563,112070
807,"Macedonia, Fmr Yug Rp of",,,,,,,,,,,,,,,,,5344,6696,7095,8574,10205,8522,10034,9809,7585,7421,9727,10404,12089,12417,16012,20029,23039,20327,18869,23107,24032
450,Madagascar,218,428,48,136,241,368,90,157,132,462,298,227,558,463,345,405,8681,7323,6507,8568,5335,14006,15720,11649,6735,8626,13650,16813,14188,17760,32102,57590,26615,17990,27346,43322,35067
454,Malawi,395,279,571,442,453,432,627,688,251,333,149,213,635,748,1345,1403,1272,687,1031,627,368,921,357,671,585,392,305,714,1017,480,1383,1208,1762,2738,2045,1739,1500
458,Malaysia,38570,43811,54055,67786,71455,80684,99990,88281,123243,110946,126598,157503,143508,164966,146511,170939,244789,265032,304258,323619,344655,347018,226474,258747,296782,323921,387049,365826,527869,522198,568189,633677,582166,672396,777858,982289,1065845
462,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,2486,2896,3265,4193,3155,5671,8445,8509,8216,11031,16715,19818
466,Mali,272,303,381,222,387,,1253,180,408,1336,3019,5097,1900,1770,3461,2670,2490,3700,758,1651,835,2175,1862,2886,1747,1191,699,2434,3474,5255,6497,6837,7795,9939,11663,11104,11381
470,Malta,2528,3278,4288,4608,8542,6416,3919,4565,4912,5693,6237,7529,9406,13909,13941,19362,21189,15639,14606,17552,19225,18594,20252,19442,16935,22818,20960,31858,31821,29641,32109,40699,53916,50375,41897,54935,89511
584,Marshall Islands,,,,,,60,335,240,130,285,350,300,230,210,212,210,230,230,250,199,255,431,232,120,191,189,410,735,824,632,527,1047,1421,1663,2456,1921,2500
474,Martinique,7749,8296,10714,12864,12299,13979,10581,12725,10050,12839,17242,21625,23893,24327,26257,31096,34199,31406,34196,38658,,,,,,,,,,,,,,,,,
