STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,COMMENTS
SE.PRM.CMPT.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
SE.ADT.LITR.FE.ZS,,,,,,,discard,0.65,0,,we cannot compute the aggs weighting by POP.TOT�aggs too different
SE.ENR.PRSC.FM.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
SE.PRM.NENR.FE,,,,,,,discard,0.65,0,,no aggregation has to be done
SE.PRM.NENR.MA,,,,,,,discard,0.65,0,,no aggregation has to be done
SH.XPD.TOTL.ZS,,,NY.GDP.MKTP.CD,,,,weighted.mean,0.65,0,,
EN.CLC.MDAT.ZS,,,OA.TPBS.POP.PPL.NO,,,,weighted.mean,0.65,0,,
QC.PRD.CRLS.TN.NO,,,,,,,sum,0.65,0,,
QC.PRD.CRLS.TN.SHP,QC.PRD.CRLS.TN.NO,OA.TPBS.POP.PPL.NO,OA.TPBS.POP.PPL.NO,share,,,weighted.mean,0.65,0,1000,from tonne/cap to kg/cap
QC.PRD.CRLS.TN.GR10,QC.PRD.CRLS.TN.NO,,QC.PRD.CRLS.TN.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.PRD.CRLS.TN.GR12,QC.PRD.CRLS.TN.NO,,QC.PRD.CRLS.TN.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CRLS.HA.NO,,,,,,,sum,0.65,0,,
QC.RHRV.CRLS.HA.GR10,QC.RHRV.CRLS.HA.NO,,QC.RHRV.CRLS.HA.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.RHRV.CRLS.HA.GR12,QC.RHRV.CRLS.HA.NO,,QC.RHRV.CRLS.HA.NO,growth,12,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CRLS.HG.NO,,,QC.RHRV.CRLS.HA.NO,,,,weighted.mean,0.65,0,,I weighted the yield by the harvested area
QC.YIELD.CRLS.HG.GR10,QC.YIELD.CRLS.HG.NO,,QC.YIELD.CRLS.HG.NO,growth,10,geo,weighted.mean,0.65,0,,ls
QC.YIELD.CRLS.HG.GR12,QC.YIELD.CRLS.HG.NO,,QC.YIELD.CRLS.HG.NO,growth,12,geo,weighted.mean,0.65,0,,ls
